export_id,inventory_type,inventory_baseline_sha,source_set_sha256,export_schema_version,export_file,row_count,exported_at_utc,generator_version,encoding,delimiter,line_ending,status
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,inventory-export-sources.csv,3,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-dependencies.csv,4,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-metadata-evidence.csv,36,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-mismatches.csv,4,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-review-status.csv,8,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-source-references.csv,21,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-standard-findings.csv,2,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-standards.csv,2,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-surface-aliases.csv,3,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-surface-files.csv,19,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-surface-standards.csv,3,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-surfaces.csv,3,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-test-trace-coverage.csv,6,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
export:cf5b34fc1b9beb1b7cd2,ui,1d103f5fa47aab8c8adfba8ea134dd29540426fe,ba1f60ea2013cfdd59d8dc17d34b04e73b1009d6be18a1717b540372e8047d09,0.2.0,ui-test-traces.csv,3,2026-07-13T15:30:00Z,fixture-0.2.0,utf-8,comma,lf,complete
