export_id,inventory_baseline_sha,export_schema_version,surface_file_id,surface_id,file_role,path,is_primary,exists_at_baseline,source_blob_oid,source_sha256
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:24b2128b2f4fc623f0d1,component:resources:views:components:ui:button:fixture001,contract,resources/views/components/ui/button/contract.php,false,true,ceea33ea7ff0e89a29d50eadac65b51b00bfd5e3,c7eeb6ed7c25f2d2421566c41fd77c39a475f746ce3410da90cb659378f239d1
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:7e37c1248010c068fbdf,component:resources:views:components:ui:button:fixture001,css,resources/css/components/button.css,false,true,04be680ce389464396e4ad3e1707206273ff0f12,6b539fd2374e55182688d029cf2dcc01e0c6e576db2cb736755a49574e4d4dcb
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:e02c1498eaf9e73333f8,component:resources:views:components:ui:button:fixture001,example,resources/views/components/ui/button/examples/basic.blade.php,false,true,0ce212273fef55f49c0a1e7118159be7a517ee14,78b52dd3b2960b84bcbb3ca5c3654910f9bf8784708595034826992c5eae717b
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:7c718fd464eaf6109040,component:resources:views:components:ui:button:fixture001,implementation_entry,resources/views/components/ui/button/index.blade.php,true,true,cb0aba071e08c608f4afb24203a8f761f434b763,466a52a7cd6f03ce19808ae3d334d93e530a70dc11dd91e8afd7b9e2e41ea9f8
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:b02b6b8703ac677c8351,component:resources:views:components:ui:button:fixture001,implementation_support,resources/css/components/button.css,false,true,04be680ce389464396e4ad3e1707206273ff0f12,6b539fd2374e55182688d029cf2dcc01e0c6e576db2cb736755a49574e4d4dcb
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:79738082b12cd4477d9f,component:resources:views:components:ui:button:fixture001,implementation_support,resources/views/components/ui/button/contract.php,false,true,ceea33ea7ff0e89a29d50eadac65b51b00bfd5e3,c7eeb6ed7c25f2d2421566c41fd77c39a475f746ce3410da90cb659378f239d1
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:c9ac3e25ea866f304bd6,component:resources:views:components:ui:button:fixture001,reference,resources/views/components/ui/button/reference.php,false,true,90c058ff0fa30807b0d0a1e953ec0fb9d00048a4,ad04e6e29a521a5a1ed1a7be096767c20d4f983e75fbd9210415abfbb2d7566e
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:70590c4e67b9bf5ca94a,component:resources:views:components:ui:button:fixture001,test,resources/views/components/ui/button/__tests__/ButtonInteraction.spec.js,false,true,6fa8a127382357612ae9d349de035cd579637b89,c49fcb928de9f9c675ae0e2db6fd822265e7d27beefbbc80892c994ce4b04675
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:1a285fe397253a54f989,component_family:resources:views:components:ui:modal:fixture002,contract,resources/views/components/ui/modal/contract.php,false,true,c0ccac318b80ab09ae4be03ff04a5458e7053af8,8b2ce5512984b3ad3fbd2ce8fc07b5fdff7001061b0003dfea1a3aeb7dce5049
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:e9b27461f3b29db7fb41,component_family:resources:views:components:ui:modal:fixture002,css,resources/css/components/modal.css,false,true,311f1fb3600611892b84942b4fdbc1765d833d7c,abfb9ef8de644d967b507b717b06c0a1aa7ff13dc276271b31696b776a384121
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:f22e8a6cd4a4a724df5f,component_family:resources:views:components:ui:modal:fixture002,implementation_entry,resources/views/components/ui/modal/index.blade.php,true,true,50c5d4268f3f490ac62af1855345b4496f0e2aa1,675dc851bb830a53508d326904970f7b99273b58af05d5dc68530b2c44ad977b
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:900104d3932d46756d5a,component_family:resources:views:components:ui:modal:fixture002,implementation_support,resources/css/components/modal.css,false,true,311f1fb3600611892b84942b4fdbc1765d833d7c,abfb9ef8de644d967b507b717b06c0a1aa7ff13dc276271b31696b776a384121
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:bdc98e9cef6486e83410,component_family:resources:views:components:ui:modal:fixture002,implementation_support,resources/js/ui-controls/modal.js,false,true,ec491405660d4bfedf6592379580208df017c9c9,3c2372a3e85797cde3c7091e83d25de68dc4429cab17801619bafd705cbb3e13
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:790b3048c8819e57e476,component_family:resources:views:components:ui:modal:fixture002,implementation_support,resources/views/components/ui/modal/body.blade.php,false,true,d6e3f40cfc1f4c864ca7670960c8175c01ddf8d1,d551888c86960f0050c57fcbbc65079b5a8387540d9c539e5a54ada2027707e2
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:bfac29b2417a975fd49a,component_family:resources:views:components:ui:modal:fixture002,implementation_support,resources/views/components/ui/modal/contract.php,false,true,c0ccac318b80ab09ae4be03ff04a5458e7053af8,8b2ce5512984b3ad3fbd2ce8fc07b5fdff7001061b0003dfea1a3aeb7dce5049
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:19f207d6d34e31d0661e,component_family:resources:views:components:ui:modal:fixture002,javascript,resources/js/ui-controls/modal.js,false,true,ec491405660d4bfedf6592379580208df017c9c9,3c2372a3e85797cde3c7091e83d25de68dc4429cab17801619bafd705cbb3e13
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:c5dcd281700adb9f6f35,component_family:resources:views:components:ui:modal:fixture002,test,resources/views/components/ui/modal/__tests__/ModalInteraction.spec.js,false,true,d69c72e43179612df0502b400dacf6dc425c68fd,73b57e44762c98033afd05ebb0c29cef3f17ffd5c208fdf5d242111368c35885
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:653b8002a4b73c7525af,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,implementation_entry,resources/views/platform/dashboard/index.blade.php,true,true,4d543d76179e6b9255863b340bafb0411ab1775a,2e16b116c350c56e9724d7b33c837a46533de6bb9fb28485113bf79700b8b130
export:cf5b34fc1b9beb1b7cd2,1d103f5fa47aab8c8adfba8ea134dd29540426fe,0.2.0,surface-file:adce547dd183025e9425,url_view:resources:views:platform:dashboard:index.blade.php:fixture003,test,tests/Feature/DashboardViewTest.php,false,true,568dd54d621206b0763b641689e0a0bbeeadd66a,35611d3510d2afcb52a593238dec1879054e28f2d85f8beb1204e1ea8d6a7b2b
